7 14
13 35 10
13 37 22
13 42 27
13 46 10
13 54 34
13 55 21
13 83 36
13 87 34
13 88 32
14 25 33
14 67 12
14 75 31
14 76 23
15 16 16
15 26 21
15 39 15
15 40 30
15 41 34
15 47 14
15 59 13
15 65 14
15 69 36
15 75 30
15 80 31
15 88 29
15 95 32
16 22 34
16 26 13
16 53 16
16 56 16
16 63 27
16 77 15
16 78 29
16 82 26
16 88 26
16 98 20
17 18 26
17 21 27
17 25 24
17 36 13
17 37 16
17 45 13
17 47 33
17 48 25
17 49 12
17 63 33
17 73 10
17 84 34
17 92 31
17 95 22
18 21 31
18 37 18
18 40 25
18 41 11
18 43 12
18 46 26
18 62 36
18 73 25
18 74 34
18 78 26
18 82 16
18 98 18
19 36 27
19 45 30
19 46 13
19 50 11
19 63 31
19 69 11
19 86 19
19 95 29
20 24 18
20 34 27
20 66 25
20 67 17
20 68 23
20 96 23
21 23 29
21 32 34
21 37 17
21 45 22
21 48 26
21 58 28
21 70 38
21 90 38
21 91 14
21 94 26
21 98 29
21 99 16
22 36 24
22 40 26
22 47 18
22 48 20
22 57 35
22 65 36
22 70 37
22 87 33
23 30 29
23 31 36
23 52 23
23 79 27
23 91 28
24 47 13
24 61 22
24 78 28
24 90 28
24 91 25
24 95 15
25 31 38
25 35 30
25 57 20
25 74 25
25 75 35
25 82 21
25 89 15
26 57 24
26 64 18
26 73 13
26 77 32
26 83 38
27 46 28
27 61 35
27 68 38
27 87 30
27 88 34
28 34 32
28 61 19
28 68 22
28 83 34
28 93 16
29 30 35
29 43 10
29 47 34
29 56 22
29 62 15
29 68 30
29 96 19
29 97 27
30 32 32
30 34 25
30 46 21
30 48 38
30 54 24
30 63 26
30 86 30
30 99 37
31 35 14
31 49 24
31 53 11
31 54 14
31 61 34
31 62 37
31 81 18
31 83 27
31 99 35
32 33 13
32 49 39
32 62 16
32 67 17
32 92 30
33 41 13
33 62 38
33 68 17
33 70 34
33 76 24
33 81 34
33 96 17
34 43 38
34 53 37
34 65 36
34 77 20
34 99 37
35 39 29
35 42 14
35 48 10
35 55 21
35 61 15
35 66 16
35 79 38
35 84 30
35 94 25
35 95 24
35 100 16
36 44 27
36 52 32
36 64 22
36 69 20
36 86 25
36 87 35
36 89 26
37 53 29
37 66 33
37 72 21
37 90 10
38 47 19
38 48 31
38 62 30
38 74 29
38 87 11
38 93 28
39 49 10
39 50 24
39 71 11
39 74 14
39 76 19
39 84 10
39 94 17
39 95 13
39 98 28
39 99 35
40 56 18
40 68 38
40 95 18
41 53 19
41 55 23
41 56 11
41 80 20
41 98 25
42 73 37
42 81 38
42 93 22
43 57 24
43 58 34
43 66 19
43 70 25
43 72 26
43 74 27
43 84 30
43 87 36
43 88 18
43 89 24
43 98 15
44 46 23
44 47 25
44 53 20
44 57 17
44 92 35
45 56 24
45 68 21
45 69 28
45 72 22
45 77 11
45 96 26
46 57 37
46 63 31
47 52 17
47 53 14
47 56 37
47 67 30
47 68 26
47 70 28
47 76 26
47 77 33
47 87 30
47 90 35
48 65 14
48 71 24
48 72 39
48 91 38
48 99 12
48 100 29
49 52 13
49 63 25
49 64 36
49 69 36
49 70 15
49 71 18
49 80 12
50 58 30
50 59 13
50 69 26
50 70 12
50 72 25
50 83 21
50 97 20
51 58 11
51 59 38
51 83 24
52 74 25
52 77 20
52 80 10
52 93 33
53 55 30
53 58 22
53 64 11
53 67 38
53 68 24
53 70 21
53 74 10
53 91 29
53 93 26
54 84 23
54 90 16
54 97 35
55 61 13
55 69 33
55 73 36
55 92 35
55 97 27
56 68 22
57 60 33
57 63 34
57 73 29
57 89 33
57 92 34
57 100 30
58 63 39
58 69 21
58 72 30
58 90 23
59 76 27
59 79 17
59 85 29
59 93 33
60 62 29
60 76 23
60 94 26
60 95 11
61 88 30
61 90 26
61 99 27
62 96 17
62 97 27
63 70 14
63 77 29
63 84 20
63 95 12
63 96 37
64 76 25
64 77 34
64 79 19
64 88 37
64 90 33
66 67 38
66 88 21
67 70 21
67 73 30
68 86 11
68 91 30
68 94 36
68 97 23
69 70 10
69 71 29
69 75 27
69 76 37
71 74 36
71 96 18
71 98 39
72 77 17
72 94 14
73 84 10
73 92 35
73 95 21
74 83 38
74 84 18
75 77 22
75 78 17
75 81 22
75 89 10
75 92 27
75 97 39
75 100 39
76 77 21
76 91 26
77 96 39
78 95 32
78 96 32
79 87 33
79 95 26
80 85 14
81 82 39
81 83 36
81 87 38
82 86 31
82 87 25
83 84 29
83 87 24
83 88 12
83 96 39
84 88 27
85 89 12
85 99 12
87 100 36
88 92 10
89 97 31
90 91 20
93 97 32
94 96 13
94 97 39
94 98 27
96 97 16
96 99 20
97 100 36
99 100 15
1 90 2000
100 800
1 9 37
1 10 39
1 13 37
1 21 38
1 54 35
1 70 24
1 73 39
1 77 36
1 87 16
1 88 33
2 9 27
2 11 18
2 30 25
2 50 38
2 52 15
2 64 37
2 69 10
2 73 11
2 74 34
2 73 36
2 81 21
2 82 15
2 97 19
2 99 30
3 13 27
3 16 30
3 19 21
3 21 32
3 27 29
3 37 19
3 58 31
3 69 20
3 73 27
3 74 32
3 76 26
3 95 25
4 8 35
4 33 32
4 34 36
4 35 38
4 49 25
4 51 25
4 57 30
4 61 18
4 71 38
4 81 33
4 83 13
4 90 10
4 91 38
4 90 30
4 93 22
5 9 27
5 15 14
5 17 34
5 20 26
5 21 37
5 22 21
5 27 35
5 30 31
5 32 22
5 38 36
5 39 39
5 57 25
5 60 27
5 70 25
5 71 18
5 81 34
5 98 17
5 99 24
6 12 39
6 14 22
6 18 16
6 30 24
6 31 11
6 60 28
6 61 25
6 66 28
6 91 33
6 92 21
6 93 15
6 94 39
6 95 14
6 97 21
7 16 32
7 21 25
7 35 21
7 57 27
7 58 16
7 59 12
7 67 14
7 76 14
7 78 36
7 83 21
7 88 22
7 94 27
7 98 25
7 99 39
7 100 27
8 35 13
8 47 32
8 53 34
8 65 37
8 75 11
8 81 35
8 82 38
8 90 39
8 93 12
8 95 15
9 10 29
9 11 30
9 14 18
9 15 32
9 19 36
9 40 18
9 46 18
9 62 12
9 67 26
9 68 34
9 76 37
9 77 33
9 81 16
9 82 19
9 85 16
9 91 37
9 92 27
9 94 27
9 95 33
10 18 10
10 42 23
10 51 26
10 52 36
10 53 11
10 54 33
10 57 16
10 59 18
10 65 18
10 73 34
10 79 16
10 80 20
10 92 17
11 12 39
11 13 15
11 14 38
11 15 20
11 16 25
11 17 38
11 19 20
11 25 24
11 26 30
11 27 32
11 42 29
11 51 36
11 52 13
11 57 12
11 65 39
11 66 32
11 80 14
11 89 33
11 90 20
11 95 37
12 13 28
12 14 14
12 21 34
12 56 15
12 60 22
12 62 10
12 76 29
12 83 20
12 84 32
12 91 11
12 95 24
12 96 33
13 18 21
13 28 35
13 35 10
13 37 22
13 42 27
13 46 10
13 50 33
13 54 34
13 55 21
13 57 15
13 70 26
13 71 36
13 72 19
13 83 36
13 87 34
13 88 32
13 90 32
13 91 33
14 22 29
14 25 33
14 31 28
14 32 20
14 36 23
14 42 14
14 56 36
14 67 12
14 75 31
14 76 23
14 95 23
15 16 16
15 26 21
15 39 15
15 40 30
15 41 34
15 47 14
15 59 13
15 64 38
15 65 14
15 69 36
15 75 30
15 80 31
15 88 29
15 95 32
16 22 34
16 26 13
16 49 20
16 53 16
16 56 16
16 63 27
16 76 32
16 77 15
16 78 29
16 82 26
16 88 26
16 98 20
17 18 26
17 21 27
17 25 24
17 36 13
17 37 33
17 38 16
17 45 13
17 47 33
17 48 21
17 49 25
17 50 12
17 52 37
17 61 24
17 63 33
17 73 10
17 84 34
17 91 22
17 92 31
17 95 22
18 19 19
18 21 31
18 33 18
18 34 33
18 37 18
18 38 14
18 40 25
18 41 11
18 43 12
18 46 26
18 48 22
18 49 18
18 62 36
18 73 25
18 74 34
18 76 16
18 78 26
18 82 16
18 93 10
18 98 18
19 32 22
19 36 27
19 37 26
19 45 30
19 46 13
19 50 11
19 63 31
19 68 38
19 69 11
19 79 11
19 86 19
19 95 29
20 23 18
20 24 18
20 34 27
20 36 14
20 53 22
20 56 13
20 66 25
20 67 17
20 68 23
20 70 10
20 88 30
20 93 13
20 96 23
20 98 31
20 100 27
21 23 29
21 32 34
21 37 17
21 39 31
21 42 20
21 45 22
21 48 26
21 58 28
21 65 17
21 70 38
21 90 38
21 91 14
21 94 26
21 98 29
21 99 16
21 100 27
22 35 24
22 36 24
22 40 26
22 43 10
22 47 18
22 48 20
22 56 16
22 57 31
22 58 35
22 65 36
22 70 37
22 77 30
22 87 33
23 27 28
23 30 29
23 31 36
23 33 13
23 34 17
23 41 34
23 52 23
23 77 20
23 79 27
23 86 11
23 91 28
23 92 29
24 31 37
24 37 38
24 45 30
24 47 13
24 61 22
24 62 20
24 78 28
24 86 24
24 90 28
24 91 25
24 95 15
25 31 38
25 35 30
25 38 20
25 47 38
25 57 20
25 65 21
25 74 25
25 75 11
25 76 35
25 82 21
25 83 25
25 89 15
26 34 13
26 38 14
26 50 32
26 57 24
26 64 18
26 73 13
26 77 32
26 83 38
27 43 28
27 46 28
27 61 35
27 68 38
27 76 18
27 87 30
27 88 34
27 92 32
28 30 20
28 34 32
28 36 30
28 61 19
28 62 35
28 61 34
28 65 17
28 68 22
28 83 34
28 89 18
28 93 16
28 98 28
29 30 35
29 32 38
29 39 10
29 41 13
29 43 10
29 47 34
29 56 22
29 62 15
29 68 30
29 75 32
29 93 29
29 96 19
29 97 27
30 32 32
30 34 25
30 46 21
30 48 38
30 54 24
30 55 39
30 59 23
30 63 26
30 70 26
30 86 30
30 99 37
30 100 36
31 35 14
31 41 21
31 49 24
31 51 21
31 53 11
31 54 14
31 61 34
31 62 37
31 81 18
31 83 27
31 99 35
32 33 13
32 45 26
32 49 39
32 62 16
32 67 17
32 85 19
32 92 30
33 35 12
33 38 10
33 41 13
33 48 14
33 62 38
33 63 25
33 68 17
33 70 34
33 71 18
33 76 24
33 81 34
33 96 17
34 39 34
34 42 20
34 43 38
34 45 28
34 53 37
34 54 24
34 65 36
34 70 12
34 77 20
34 78 36
34 99 37
35 39 29
35 40 20
35 42 14
35 48 10
35 50 34
35 55 21
35 61 15
35 66 16
35 68 11
35 79 38
35 82 11
35 84 30
35 94 25
35 95 24
35 99 16
35 100 38
36 37 21
36 38 36
36 44 27
36 52 32
36 55 33
36 57 36
36 59 21
36 60 11
36 64 22
36 69 20
36 86 25
36 87 35
36 89 26
37 53 29
37 54 21
37 58 35
37 66 33
37 67 27
37 71 28
37 72 21
37 90 10
37 94 29
38 47 19
38 48 31
38 62 30
38 71 27
38 74 29
38 87 11
38 93 28
39 49 10
39 50 24
39 51 22
39 52 31
39 57 15
39 67 28
39 71 11
39 72 10
39 74 14
39 76 19
39 84 10
39 94 17
39 95 13
39 98 28
39 99 35
39 100 35
40 56 18
40 57 26
40 68 38
40 71 15
40 81 27
40 95 18
40 96 33
40 97 36
41 51 29
41 53 19
41 55 23
41 56 11
41 80 20
41 87 29
41 98 25
42 48 31
42 73 37
42 79 26
42 81 38
42 93 22
42 97 31
43 57 24
43 58 34
43 66 19
43 70 25
43 72 26
43 74 27
43 84 30
43 87 36
43 88 18
43 89 24
43 98 15
44 46 23
44 47 25
44 52 38
44 53 20
44 57 17
44 67 18
44 79 30
44 84 32
44 86 32
44 92 35
44 96 27
44 98 17
45 56 24
45 68 21
45 69 28
45 72 22
45 74 15
45 77 11
45 78 27
45 79 12
45 96 26
46 48 25
46 57 37
46 63 31
46 66 11
47 52 17
47 53 14
47 56 37
47 60 13
47 67 30
47 68 26
47 70 28
47 74 29
47 76 26
47 77 33
47 84 26
47 87 30
47 90 35
47 91 38
47 97 39
48 49 24
48 53 38
48 64 39
48 65 14
48 71 24
48 72 39
48 91 38
48 99 12
48 100 29
49 52 13
49 62 36
49 63 25
49 64 36
49 69 36
49 70 15
49 71 18
49 80 12
49 81 26
50 57 39
50 58 28
50 59 30
50 58 13
50 62 38
50 63 30
50 69 26
50 70 12
50 72 25
50 82 31
50 83 21
50 97 20
51 52 15
51 58 11
51 59 38
51 68 30
51 79 22
51 83 24
52 59 17
52 74 25
52 77 20
52 80 10
52 92 36
52 93 33
53 55 30
53 58 22
53 60 36
53 64 11
53 67 38
53 68 24
53 70 21
53 74 10
53 91 29
53 93 26
53 94 11
53 96 36
54 67 24
54 73 21
54 79 35
54 84 23
54 85 28
54 90 16
54 97 35
55 61 13
55 66 13
55 69 33
55 73 36
55 92 35
55 97 27
56 61 38
56 68 22
57 60 33
57 63 34
57 73 29
57 81 29
57 89 33
57 92 34
57 100 30
58 60 30
58 63 39
58 69 21
58 72 30
58 73 25
58 90 23
59 76 27
59 79 17
59 85 29
59 91 26
59 93 33
60 62 29
60 76 23
60 78 22
60 94 26
60 95 11
61 64 26
61 75 16
61 84 25
61 87 16
61 88 30
61 90 26
61 92 23
61 99 27
62 96 17
62 97 27
63 64 22
63 70 14
63 75 33
63 77 29
63 84 20
63 95 12
63 96 37
64 68 27
64 76 25
64 77 34
64 79 19
64 83 11
64 88 37
64 90 33
65 81 27
66 67 38
66 68 35
66 88 21
67 70 21
67 72 20
67 73 30
67 79 28
67 80 19
67 82 25
68 86 11
68 91 30
68 94 36
68 97 23
68 98 16
69 70 10
69 71 29
69 75 27
69 76 37
69 98 13
71 74 36
71 96 18
71 98 39
72 77 17
72 82 18
72 94 14
72 95 28
72 100 13
73 84 10
73 85 13
73 86 34
73 92 35
73 95 21
74 83 38
74 84 18
74 85 32
74 90 33
75 77 22
75 78 17
75 81 22
75 89 10
75 92 27
75 97 39
75 100 39
76 77 21
76 86 24
76 91 26
76 95 34
76 97 31
77 85 13
77 87 38
77 88 28
77 93 28
77 95 19
77 96 39
78 92 21
78 95 32
78 96 32
79 87 33
79 95 26
79 96 21
79 98 29
80 85 14
81 82 39
81 83 36
81 87 38
82 84 36
82 86 31
82 87 25
82 88 25
82 93 35
83 84 29
83 87 24
83 88 12
83 93 33
83 96 39
84 88 27
84 89 10
84 100 20
85 88 12
85 99 12
86 91 32
87 92 22
87 99 35
87 100 36
88 92 10
89 90 21
89 97 31
90 91 20
90 92 37
93 97 32
93 98 29
94 96 13
94 97 39
94 98 27
96 97 16
96 99 20
97 100 17
98 100 36
99 100 15
10 90 1000
0 0
